,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,IPS,Touchscreen,Layer1SDD,Layer1Flash_storage,HDD,SSD,Hybrid,Flash_Storage
18,Lenovo,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,No OS,2.2,44446,141.0,0,0,0,0,1,0,0,0
19,Dell,Ultrabook,Intel Core i5,8,128GB SSD,Intel UHD,Windows 10,1.22,87200,166.0,1,1,0,0,0,128,0,0
20,Asus,Netbook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,0.98,17093,135.0,0,0,0,1,0,0,0,32
21,Lenovo,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,88981,141.0,1,0,0,0,1,128,0,0
22,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,No OS,1.86,22980,100.0,0,0,0,0,500,0,0,0
23,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.62,72948,166.0,0,1,0,0,0,256,0,0
24,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.91,58697,141.0,0,0,0,0,0,256,0,0
25,Dell,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.3,37288,100.0,0,0,0,0,1,0,0,0
26,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,Mac OS,1.35,97888,128.0,0,0,0,1,0,0,0,128
27,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.2,71256,141.0,0,0,0,0,0,256,0,0
28,Dell,Ultrabook,Intel Core i7,8,256GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,115613,141.0,0,0,0,0,0,512,0,0
29,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,79807,127.0,0,0,0,0,1,0,0,0
31,Asus,Notebook,AMD E-Series,2,32GB Flash Storage,AMD Radeon,Windows 10,1.65,17725,112.0,0,0,0,1,0,0,0,32
32,HP,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.71,39102,127.0,0,0,0,0,500,0,0,0
33,Dell,Ultrabook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.2,166472,276.0,0,1,0,0,0,512,0,0
34,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,Mac OS,1.35,88892,128.0,0,0,0,1,0,0,0,256
35,Lenovo,Notebook,Other Intel Processor,4,64GB Flash Storage,Intel HD,Windows 10,1.44,22178,112.0,0,0,0,1,0,0,0,64
36,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,32689,100.0,0,0,0,0,1,0,0,0
37,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,87200,127.0,1,0,0,0,1,128,0,0
38,HP,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.86,43528,100.0,0,0,0,0,1,0,0,0
39,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.1,78293,141.0,0,0,0,0,0,256,0,0
40,Asus,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.0,34648,141.0,0,0,0,0,1,0,0,0
41,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,133516,141.0,1,0,0,0,1,256,0,0
42,Asus,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.3,46583,100.0,0,0,0,0,1,0,0,0
43,Acer,Notebook,Intel Core i5,4,256GB SSD,Intel UHD,Windows 10,2.2,60746,141.0,1,0,0,0,0,256,0,0
44,Dell,2 in 1 Convertible,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.77,88981,127.0,0,1,0,0,1,0,0,0
45,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,Mac OS,1.37,126390,227.0,1,0,0,0,0,256,0,0
46,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,No OS,2.2,32867,100.0,0,0,0,0,0,128,0,0
47,Asus,Gaming,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,115702,127.0,0,0,0,0,1,256,0,0
48,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Windows 10,2.3,56916,141.0,0,0,0,0,0,256,0,0
49,Asus,Notebook,Other Intel Processor,4,1TB HDD,Nvidia GeForce,Windows 10,2.8,41507,91.0,0,0,0,0,1,0,0,0
51,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,74908,141.0,1,0,0,0,0,256,0,0
52,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,35494,141.0,0,0,0,0,0,256,0,0
53,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.49,98244,166.0,0,0,0,0,0,512,0,0
54,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.4,34203,100.0,0,0,0,0,1,0,0,0
55,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.13,68388,141.0,0,0,0,0,0,256,0,0
56,HP,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.91,39102,141.0,0,0,0,0,0,128,0,0
57,Asus,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,2.0,52212,100.0,0,0,0,0,0,256,0,0
58,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.43,218132,127.0,0,0,0,0,2,256,0,0
59,Asus,Notebook,Intel Core i3,4,256GB SSD,Intel HD,Linux,2.0,36964,141.0,0,0,0,0,0,256,0,0
60,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,115702,127.0,0,0,0,0,2,256,0,0
61,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.7,78293,157.0,0,0,0,0,0,256,0,0
62,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Intel HD,No OS,1.7,53353,157.0,1,0,0,0,0,256,0,0
63,Asus,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.4,83815,157.0,0,0,0,0,0,256,0,0
64,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.86,61458,141.0,0,0,0,0,0,256,0,0
65,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.8,176626,141.0,0,0,0,0,0,512,0,0
66,HP,Notebook,Intel Core i3,4,500GB HDD,AMD Radeon,Windows 10,1.86,39074,100.0,0,0,0,0,500,0,0,0
67,HP,Notebook,Other Intel Processor,4,32GB SSD,Intel HD,Windows 10,1.44,20397,112.0,0,0,0,0,0,32,0,0
68,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.9,48899,141.0,0,0,0,0,1,0,0,0
69,Asus,Gaming,Intel Core i7,12,1TB HDD,Nvidia GeForce,Linux,3.0,84527,127.0,0,0,0,0,1,0,0,0
71,Dell,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,85062,166.0,1,0,0,0,0,256,0,0
72,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,77491,141.0,0,0,0,0,0,256,0,0
73,MSI,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,97532,127.0,0,0,0,0,1,128,0,0
74,Acer,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.1,34648,112.0,0,0,0,0,1,0,0,0
75,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,84527,141.0,0,0,0,0,1,0,0,0
76,Lenovo,Notebook,Intel Core i5,8,2TB HDD,Intel HD,No OS,2.2,46227,141.0,0,0,0,0,2,0,0,0
77,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Intel UHD,Windows 10,2.02,76155,141.0,0,0,0,0,1,128,0,0
78,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,47207,141.0,0,0,0,0,1,0,0,0
79,HP,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,87021,127.0,0,0,0,0,1,128,0,0
80,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.88,97635,141.0,1,0,0,0,0,256,0,0
82,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.63,76600,157.0,0,0,0,0,0,256,0,0
83,Lenovo,Notebook,AMD A-Series,4,128GB SSD,AMD R4,Windows 10,2.2,35539,141.0,0,0,0,0,0,128,0,0
84,Acer,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.1,35183,100.0,0,0,0,0,1,0,0,0
85,Dell,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,120155,141.0,1,0,0,0,1,128,0,0
86,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.83,62260,141.0,1,0,0,0,0,256,0,0
87,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.96,53352,141.0,0,0,0,0,0,256,0,0
88,Asus,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,129062,141.0,1,0,0,0,1,128,0,0
89,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,146876,166.0,1,0,0,0,0,256,0,0
90,Asus,Gaming,AMD F-Series,8,1TB HDD,AMD Radeon,Windows 10,2.45,62260,141.0,0,0,0,0,1,0,0,0
91,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,61369,141.0,0,0,0,0,1,0,0,0
92,HP,Notebook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.49,106617,166.0,0,0,0,0,0,512,0,0
93,Dell,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.65,106439,141.0,0,0,0,0,0,256,0,0
94,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.25,93434,157.0,0,0,0,0,0,256,0,0
95,Acer,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.5,75442,166.0,1,1,0,0,0,256,0,0
96,Dell,Notebook,Intel Core i7,8,1TB HDD,AMD Radeon,Linux,2.2,53433,141.0,0,0,0,0,1,0,0,0
97,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Linux,2.2,43199,141.0,0,0,0,0,0,256,0,0
98,Asus,Notebook,Intel Core i3,6,256GB SSD,Nvidia GeForce,Windows 10,2.0,51393,141.0,0,0,0,0,0,256,0,0
99,HP,Gaming,Intel Core i7,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,111248,141.0,1,0,0,0,1,128,0,0
100,HP,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.91,64041,141.0,0,0,0,0,0,256,0,0
101,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,31085,141.0,0,0,0,0,500,0,0,0
102,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.2,57628,141.0,0,0,0,0,1,0,0,0
103,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.38,99669,166.0,1,0,0,0,0,256,0,0
105,HP,Notebook,Intel Core i5,6,256GB SSD,Nvidia GeForce,Windows 10,1.58,58697,157.0,1,0,0,0,0,256,0,0
106,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,36955,141.0,0,0,0,0,1,0,0,0
107,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.3,106261,157.0,1,0,0,0,0,256,0,0
108,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,115702,141.0,0,0,0,0,1,256,0,0
109,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.58,131824,157.0,1,0,0,0,0,256,0,0
110,Asus,Ultrabook,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.5,112406,141.0,0,0,0,0,1,256,0,0
111,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel Iris,Windows 10,1.23,122828,276.0,0,1,0,0,0,256,0,0
112,Lenovo,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.37,124609,166.0,1,1,0,0,0,256,0,0
113,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.63,64309,112.0,1,0,0,0,500,0,0,0
114,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.21,145095,166.0,1,0,0,0,0,256,0,0
115,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.26,124608,166.0,1,1,0,0,0,256,0,0
116,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.63,96552,157.0,0,0,0,0,0,512,0,0
117,Dell,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.16,100678,141.0,1,0,0,0,1,256,0,0
118,Asus,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.0,50235,127.0,0,0,0,0,1,0,0,0
119,Asus,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,99580,141.0,0,0,0,0,0,256,0,0
120,Acer,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.1,42665,141.0,1,1,0,0,1,0,0,0
121,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,1.8,199650,141.0,0,0,0,0,2,256,0,0
122,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.2,56025,141.0,0,0,0,0,0,256,0,0
123,HP,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.5,113208,127.0,0,0,0,0,0,512,0,0
124,Acer,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,2.1,40171,100.0,0,0,0,0,0,256,0,0
125,HP,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,No OS,1.86,23069,100.0,0,0,0,0,500,0,0,0
126,HP,Notebook,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,1.63,72325,157.0,0,0,0,0,1,0,0,0
127,Asus,Notebook,AMD E-Series,4,64GB SSD,AMD Radeon,Windows 10,1.65,24761,112.0,0,0,0,0,0,64,0,0
128,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,124342,127.0,0,0,0,0,2,256,0,0
129,HP,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.5,82657,127.0,0,0,0,0,0,256,0,0
130,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.36,56915,100.0,0,0,0,0,1,0,0,0
131,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.2,39992,141.0,0,0,0,0,1,0,0,0
132,Acer,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.6,78738,157.0,1,0,0,0,0,256,0,0
133,Acer,Notebook,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,2.2,50948,141.0,0,0,0,0,0,256,0,0
134,HP,Notebook,Intel Core i7,8,1TB HDD,Intel HD,Windows 10,2.05,53264,100.0,0,0,0,0,1,0,0,0
135,HP,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.63,88001,157.0,0,0,0,0,0,256,0,0
136,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,1.9,22478,100.0,0,0,0,0,1,0,0,0
137,Asus,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,83548,127.0,0,0,0,0,1,128,0,0
138,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.2,44446,141.0,0,0,0,0,1,0,0,0
139,HP,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.32,62260,166.0,1,0,0,0,0,256,0,0
140,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,3.0,58341,127.0,1,0,0,0,1,0,0,0
141,Lenovo,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,1.75,99404,157.0,1,0,0,0,0,256,0,0
142,Lenovo,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,No OS,2.4,77402,141.0,1,0,0,0,0,256,0,0
143,Toshiba,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,53620,100.0,0,0,0,0,500,0,0,0
144,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,32867,100.0,0,0,0,0,0,256,0,0
145,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.25,97888,157.0,0,0,0,0,0,256,0,0
146,HP,Ultrabook,Other Intel Processor,8,512GB SSD,Intel HD,Windows 10,0.97,179387,352.0,1,1,0,0,0,512,0,0
147,Asus,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.0,30640,141.0,0,0,0,0,1,0,0,0
148,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,180723,127.0,0,0,0,0,1,256,0,0
149,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.1,39814,100.0,0,0,0,0,1,0,0,0
150,Dell,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.56,111272,141.0,0,0,0,0,0,512,0,0
151,Dell,Gaming,Intel Core i7,8,1.0TB Hybrid,Nvidia GeForce,Windows 10,2.62,80074,141.0,0,0,0,0,0,0,10,0
152,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,1.9,44357,100.0,0,0,0,0,0,128,0,0
153,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,168342,127.0,0,0,0,0,1,256,0,0
154,HP,Ultrabook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.48,96374,157.0,0,0,0,0,0,256,0,0
155,HP,Notebook,Intel Core i5,6,256GB SSD,AMD Radeon,Windows 10,1.91,55134,141.0,0,0,0,0,0,256,0,0
156,Lenovo,2 in 1 Convertible,Intel Core i3,4,256GB SSD,Intel HD,Windows 10,1.74,56025,157.0,1,1,0,0,0,256,0,0
157,Asus,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,117127,166.0,0,1,0,0,0,256,0,0
158,Dell,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.56,93434,141.0,0,1,0,0,0,256,0,0
159,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.1,39814,100.0,0,0,0,0,500,0,0,0
160,Asus,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.03,35895,100.0,0,0,0,0,1,0,0,0
161,Acer,Notebook,Intel Core i5,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,71701,127.0,1,0,0,0,0,256,0,0
162,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.13,64843,141.0,0,0,0,0,0,256,0,0
163,Lenovo,Gaming,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,2.5,96107,141.0,1,0,0,0,0,256,0,0
164,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,30996,100.0,0,0,0,0,1,0,0,0
165,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.4,160237,141.0,1,0,0,0,1,256,0,0
166,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,32378,100.0,0,0,0,0,1,0,0,0
167,Dell,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.56,94458,141.0,0,0,0,0,1,128,0,0
168,Acer,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,76066,127.0,1,0,0,0,0,256,0,0
169,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,67159,166.0,1,0,0,0,500,0,0,0
171,HP,Notebook,Intel Core i5,6,2TB HDD,AMD Radeon,Windows 10,2.71,62260,127.0,1,0,0,0,2,0,0,0
172,Lenovo,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,No OS,2.2,27523,100.0,0,0,0,0,500,0,0,0
173,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.0,43555,100.0,0,0,0,0,500,0,0,0
174,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,82212,127.0,0,0,0,0,0,256,0,0
175,Dell,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.3,40883,100.0,0,0,0,0,1,0,0,0
176,Acer,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.1,39992,100.0,0,0,0,0,0,128,0,0
178,Lenovo,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows 10,1.9,72414,141.0,0,0,0,0,1,128,0,0
179,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.29,133516,331.0,1,1,0,0,0,256,0,0
180,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Linux,2.02,93434,141.0,0,0,0,0,2,256,0,0
181,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.23,124609,166.0,0,0,0,0,0,256,0,0
183,Toshiba,Notebook,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,2.0,70633,100.0,0,0,0,0,0,128,0,0
185,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.77,137969,127.0,0,1,0,0,0,512,0,0
186,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,213501,282.0,0,1,0,0,0,512,0,0
187,Lenovo,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.4,69386,141.0,1,0,0,0,0,256,0,0
188,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.12,88090,166.0,1,0,0,0,0,256,0,0
189,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,96641,127.0,0,0,0,0,1,128,0,0
190,Lenovo,2 in 1 Convertible,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.42,251534,210.0,0,1,0,0,0,1,0,0
193,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.8,62171,106.0,0,0,0,0,0,256,0,0
194,Dell,2 in 1 Convertible,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,1.62,74730,166.0,1,1,0,0,1,0,0,0
195,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,81410,127.0,1,0,0,0,1,0,0,0
197,HP,Notebook,Intel Core i5,8,512GB SSD,Intel UHD,Windows 10,1.49,85418,166.0,0,0,0,0,0,512,0,0
198,HP,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,122828,127.0,1,0,0,0,1,256,0,0
199,HP,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,93078,127.0,0,0,0,0,0,256,0,0
200,Dell,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,164334,282.0,1,0,0,0,1,512,0,0
201,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,2.1,43912,100.0,0,0,0,0,0,128,0,0
202,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.23,66090,141.0,0,0,0,0,1,0,0,0
203,Lenovo,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,155783,141.0,1,0,0,0,1,512,0,0
204,Dell,Workstation,Other Intel Processor,16,256GB SSD +  1TB HDD,Nvidia Quadro,Windows 10,2.8,272109,282.0,0,0,0,0,1,256,0,0
205,Lenovo,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,No OS,2.4,124520,141.0,0,0,0,0,0,512,0,0
206,Dell,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.3,39102,100.0,0,1,0,0,1,0,0,0
207,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,173597,331.0,1,1,0,0,0,256,0,0
208,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,129062,166.0,0,0,0,0,0,256,0,0
209,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.2,53175,100.0,0,0,0,0,0,256,0,0
210,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,69386,141.0,0,0,0,0,1,0,0,0
